2026-02-02 16:41:24 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:41:26 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:26 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:41:27 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:27 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:41:27 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:41:27 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:41:31 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:41:32 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:41:32 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:41:33 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:33 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:41:35 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:35 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:41:35 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:41:35 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:41:38 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:41:40 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:41:40 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:41:41 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:41 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:41:43 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:41:43 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:41:43 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:43 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:41:46 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:41:48 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:41:48 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:41:50 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:50 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:41:51 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:41:51 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:41:51 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:41:51 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:41:55 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:41:56 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:41:56 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
